sms_text,category,transaction_type,amount,merchant,bank,bank_key,date,language
تم الدفع لصالح METRO MARKET بمبلغ 376.53 جنيه عن طريق بطاقتك بتاريخ 08/03/2026,Groceries,Purchase,376.53,METRO MARKET,HSBC EGYPT,HSBC,08/03/2026,ar
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 4242 لسداد مبلغ 767.26 ج.م لدى ORANGE EGYPT.,Bills,Purchase,767.26,ORANGE EGYPT,BDC-Egypt,BANQUE_DU_CAIRE,18/03/2026,ar
"تنبيه: عملية شراء بقيمة 2,065.46 جنيه في ZARA تمت بنجاح - BdC",Shopping,Purchase,2065.46,ZARA,BdC,BANQUE_DU_CAIRE,15/06/2026,ar
From HSBC EGYPT: 03FEB26 WENDY'S Purchase from 481-899***-584 EGP 248.72- Your available balance is EGP 872.71,Dining,Purchase,248.72,WENDY'S,HSBC EGYPT,HSBC,03FEB26,en
"تم خصم 821.84 جم من بطاقة الخصم رقم 6829 عند H&M يوم 04-01 الساعة 01:11 المتاح 2,611.22 جم للمزيد اتصل ب 19623",Shopping,Purchase,821.84,H&M,NBE,NBE,04-01,ar
"Your monthly salary of EGP 23,625.27 has been credited to account ****1670 - CIB Egypt",Salary,Salary Credit,23625.27,MONTHLY SALARY,CIB Egypt,CIB,14 FEB 2026,en
Transaction Alert: EGP 322.75 debited at DEFACTO on 18 JUN 2026. Card ****2806 - FAB,Shopping,Purchase,322.75,DEFACTO,FAB,FAB,18 JUN 2026,en
"Cash withdrawal of EGP 930.97 from (Rehab) using card ending 1960 on 04 FEB 2026. Remaining Balance: EGP 4,159.07",ATM Withdrawal,ATM Withdrawal,930.97,ATM WITHDRAWAL,CIB Egypt,CIB,04 FEB 2026,en
"From HSBC: 17MAY26 Transfer to Orange Cash 364-935***-599 EGP 1,913.96- Your available balance is EGP 5,600.80",Transfer,Transfer,1913.96,Orange Cash,HSBC,HSBC,17MAY26,en
تم الدفع لصالح CAIRO METRO بمبلغ 267.77 جنيه عن طريق بطاقتك بتاريخ 24/06/2026,Transport,Purchase,267.77,CAIRO METRO,AAIB,AAIB,24/06/2026,ar
"Dear Customer, your card ending 4683 was used for EGP 303.79 at ELMENUS on 19 JUN 2026 - AAIB-EGYPT",Dining,Purchase,303.79,ELMENUS,AAIB-EGYPT,AAIB,19 JUN 2026,en
"تمت عملية سحب نقدي بمبلغ 2,767.01 ج.م من ماكينة الصراف الآلي فرع وسط البلد باستخدام بطاقتكم المنتهية برقم 4562. الرصيد المتاح: 6,904.98 ج.م.",ATM Withdrawal,ATM Withdrawal,2767.01,ماكينة صراف آلي,BdC,BANQUE_DU_CAIRE,02/07/2026,ar
"تم خصم 368.88 جم من بطاقة الخصم رقم 2766 عند BREADFAST COFFEE يوم 03-21 الساعة 22:57 المتاح 1,189.60 جم للمزيد اتصل ب 19623",Dining,Purchase,368.88,BREADFAST COFFEE,البنك الأهلي المصري,NBE,03-21,ar
"تمت عملية شراء بمبلغ 1,115.60 ج.م لدى ALFA MARKET باستخدام بطاقتكم المنتهية برقم 7209. الرصيد المتاح: 2,494.16 ج.م.",Groceries,Purchase,1115.6,ALFA MARKET,Alexandria Bank,Alexbank,14/02/2026,ar
تنبيه: عملية شراء بقيمة 285.84 جنيه في BAZOOKA تمت بنجاح - BM-Egypt,Dining,Purchase,285.84,BAZOOKA,BM-Egypt,BANQUE_MISR,26/03/2026,ar
"قمت بسحب مبلغ 1,522.36 ج.م نقدا بتاريخ 13/02/2026 من ماكينة صراف آلي - بنك اسكندرية",ATM Withdrawal,ATM Withdrawal,1522.36,ماكينة صراف آلي,بنك اسكندرية,Alexbank,13/02/2026,ar
FAB EGYPT Alert: EGP 636.44 debited from WATER COMPANY/Account card ending 4662 at POS transaction.,Bills,Purchase,636.44,WATER COMPANY,FAB EGYPT,FAB,10 APR 2026,en
تم الدفع لصالح INDRIVE بمبلغ 115.23 جنيه عن طريق بطاقتك بتاريخ 27/04/2026,Transport,Purchase,115.23,INDRIVE,Alex_Bank,Alexbank,27/04/2026,ar
"Dear Customer, EGP 318.43 was withdrawn via Cash Advance from your Credit Card ending 4664You withdrew EGP 318.43 from your account using your debit card on 15 FEB 2026 - FAB",ATM Withdrawal,ATM Withdrawal,318.43,ATM WITHDRAWAL,FAB,FAB,15 FEB 2026,en
